"","Name","totalgames","totalxp","totaltime","survivalplayed","survivalxp","survivaltime","survivalkills","brawlers","survivalwins","survivalgold","cagames","catime","cakills","cared","cagreen","cablue","bbgames","bbtime","bbwins","bbgoldlooted","bbgoldstored","bbupgrades","uhcwins","uhckills","uhcdeaths","uhcfalls","uhcgapples","uhcnotchapples","uhcgold","forthehorse","camelotplayed","camelotxp","camelottime","lords","dukes","spartans","castlecaptures","camelotvictories","wizardgames","wizardxp","wizardtime","wizardkills","wizarddeaths","wizardfirst","wizardsecond","wizardthird","wizardtopten","wizardhighest","pjgames","pjxp","pjtime","pjkills","pjdeaths","pjfirst","pjsecond","pjthird","pjtopten","pjhighest","Level"
"283","OneBluePopcorn","3,472","885,586","15d 21h 22m 36s","2,788","208,593","6d 0h 11m 8s","2,806 (163*)","268 (19*)","120","4,158 (439*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","13 (13*)","1 (1*)","0 (0*)","16 (16*)","0 (0*)","102","88,719","0d 17h 9m 17s","466","21","22","94","38","12","4,330","0d 2h 21m 11s","48 (43*)","84","0","0","0","0","22","230","74,328","1d 9h 5m 50s","2,617","2,458","7","0","0","0","47",217
"284","AndresDaKid","3,205","406,516","8d 4h 13m 52s","3,171","389,285","7d 12h 52m 38s","5,121 (2,068*)","87 (34*)","562","19,471 (8,629*)","15 (15*)","0d 9h 56m 10s (0d 9h 56m 10s*)","162 (162*)","0 (0*)","4 (4*)","4 (4*)","6 (6*)","0d 1h 12m 33s (0d 1h 12m 33s*)","3 (3*)","3 (3*)","3 (3*)","65 (65*)","0 (0*)","0 (0*)","4 (4*)","30 (30*)","2 (2*)","0 (0*)","27 (27*)","0 (0*)","2","626","0d 0h 24m 17s","2","","","1","","0","400","0d 0h 1m 20s","0 (0*)","1","0","0","0","0","0","1","200","0d 0h 8m 0s","1","11","0","0","0","0","0",135
"285","_Dwark_","3,140","586,974","11d 20h 53m 33s","2,643","360,075","6d 6h 17m 20s","5,732 (2,333*)","116 (34*)","467","17,894 (9,353*)","6 (6*)","0d 3h 14m 29s (0d 3h 14m 29s*)","89 (89*)","1 (1*)","2 (2*)","1 (1*)","41 (41*)","0d 8h 7m 56s (0d 8h 7m 56s*)","29 (29*)","6 (6*)","23 (23*)","200 (200*)","0 (0*)","1 (1*)","1 (1*)","9 (9*)","5 (5*)","0 (0*)","41 (41*)","0 (0*)","106","101,792","0d 19h 29m 38s","1984","1","70","134","39","47","16,345","0d 8h 26m 3s","525 (25*)","290","2","2","0","1","69","1","410","0d 0h 10m 28s","10","13","0","0","0","0","2",169
"286","Sixsol","1,878","480,186","8d 10h 13m 40s","1,717","354,900","5d 8h 7m 35s","5,846 (130*)","109 (1*)","465","17,352 (470*)","7 (7*)","0d 4h 29m 9s (0d 4h 29m 9s*)","88 (88*)","1 (1*)","2 (2*)","1 (1*)","1 (1*)","0d 0h 10m 10s (0d 0h 10m 10s*)","0 (0*)","1 (1*)","2 (2*)","6 (6*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","88","36,127","0d 19h 9m 58s","969","109","15","39","33","3","2,245","0d 0h 48m 48s","62 (11*)","26","0","0","0","0","27","1","410","0d 0h 4m 5s","8","5","0","0","0","0","2",150
"287","F1Z5","3,717","402,545","17d 16h 41m 29s","3,515","345,735","8d 20h 18m 9s","3,958 (1,569*)","108 (31*)","453","12,507 (7,940*)","36 (36*)","1d 4h 56m 8s (1d 4h 56m 8s*)","451 (451*)","7 (7*)","3 (3*)","3 (3*)","20 (20*)","0d 3h 54m 20s (0d 3h 54m 20s*)","20 (20*)","29 (29*)","38 (38*)","99 (99*)","38 (38*)","153 (153*)","62 (62*)","467 (467*)","477 (477*)","25 (25*)","4,612 (4,612*)","0 (0*)","20","15,600","0d 3h 38m 38s","39","6","4","9","4","1","1,075","0d 0h 12m 53s","8 (8*)","10","0","0","0","0","13","6","2,000","0d 0h 45m 25s","58","58","1","0","0","0","22",134
"288","_Tanman_","3,300","379,688","8d 3h 41m 33s","3,295","372,850","8d 0h 29m 8s","5,376 (457*)","16 (1*)","449","24,186 (2,628*)","1 (1*)","0d 0h 26m 49s (0d 0h 26m 49s*)","6 (6*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","9 (9*)","0 (0*)","6 (6*)","13 (13*)","0 (0*)","54 (54*)","0 (0*)","1","1,452","0d 0h 15m 10s","17","","","","1","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",129
"289","Real_John_Zena","4,036","774,474","25d 0h 38m 27s","1,855","278,545","4d 6h 18m 42s","3,709 (2,569*)","144 (133*)","426","14,788 (12,520*)","63 (63*)","1d 9h 38m 47s (1d 9h 38m 47s*)","853 (853*)","11 (11*)","7 (7*)","13 (13*)","89 (89*)","0d 16h 42m 30s (0d 16h 42m 30s*)","82 (82*)","159 (159*)","249 (249*)","398 (398*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","132","155,519","1d 6h 14m 26s","2457","20","118","246","58","4","1,490","0d 0h 39m 3s","39 (27*)","47","0","0","0","0","14","43","12,250","0d 6h 41m 24s","533","520","1","2","1","0","21",200
"290","LeeGeezy","3,036","386,031","9d 3h 40m 57s","3,030","381,459","9d 0h 53m 37s","5,330 (6*)","57 (0*)","411","15,043 (25*)","2 (2*)","0d 1h 18m 2s (0d 1h 18m 2s*)","6 (6*)","0 (0*)","0 (0*)","1 (1*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0","0","0d 0h 1m 29s","","","","","","3","2,232","0d 1h 1m 1s","31 (0*)","58","0","0","0","0","10","1","800","0d 0h 11m 44s","12","16","0","0","0","0","0",130
"291","Bertus_","2,141","312,130","6d 7h 39m 44s","2,138","310,245","6d 6h 38m 40s","4,339 (2*)","118 (0*)","407","19,000 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0","0","0d 0h 8m 55s","1","1","1","","","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","2","425","0d 0h 20m 0s","16","22","0","0","0","0","3",114
"292","VincentVII","1,942","411,083","6d 11h 14m 57s","1,846","337,893","5d 3h 25m 13s","5,543 (0*)","77 (0*)","401","16,356 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","5","6,938","0d 1h 15m 1s","88","1","1","9","2","25","12,687","0d 6h 27m 15s","532 (0*)","232","6","1","3","0","76","42","22,964","0d 6h 32m 55s","1,000","350","1","0","0","0","65",136
