"","Name","totalgames","totalxp","totaltime","survivalplayed","survivalxp","survivaltime","survivalkills","brawlers","survivalwins","survivalgold","cagames","catime","cakills","cared","cagreen","cablue","bbgames","bbtime","bbwins","bbgoldlooted","bbgoldstored","bbupgrades","uhcwins","uhckills","uhcdeaths","uhcfalls","uhcgapples","uhcnotchapples","uhcgold","forthehorse","camelotplayed","camelotxp","camelottime","lords","dukes","spartans","castlecaptures","camelotvictories","wizardgames","wizardxp","wizardtime","wizardkills","wizarddeaths","wizardfirst","wizardsecond","wizardthird","wizardtopten","wizardhighest","pjgames","pjxp","pjtime","pjkills","pjdeaths","pjfirst","pjsecond","pjthird","pjtopten","pjhighest","Level"
"1","DjTalica","12,892","3,341,712","46d 12h 58m 52s","11,915","2,367,389","30d 20h 37m 30s","32,406 (1,760*)","892 (82*)","2,363","120,666 (8,077*)","67 (67*)","2d 13h 58m 6s (2d 13h 58m 6s*)","1,304 (1,304*)","12 (12*)","15 (15*)","11 (11*)","5 (5*)","0d 1h 1m 10s (0d 1h 1m 10s*)","4 (4*)","0 (0*)","0 (0*)","45 (45*)","7 (7*)","84 (84*)","22 (22*)","269 (269*)","159 (159*)","0 (0*)","1,199 (1,199*)","0 (0*)","132","94,824","1d 9h 29m 6s","3835","","64","189","69","15","5,129","0d 3h 5m 5s","97 (73*)","139","0","0","0","0","29","78","31,502","0d 11h 16m 0s","1,174","758","5","1","2","1","65",461
"2","lafuller","12,225","694,779","43d 21h 21m 56s","20","375","0d 0h 39m 34s","3 (2*)","0 (0*)","0","0 (0*)","162 (162*)","6d 4h 13m 16s (6d 4h 13m 16s*)","366 (366*)","46 (46*)","42 (42*)","51 (51*)","5 (5*)","0d 0h 57m 16s (0d 0h 57m 16s*)","6 (6*)","14 (14*)","13 (13*)","19 (19*)","1 (1*)","4 (4*)","72 (72*)","146 (146*)","83 (83*)","0 (0*)","1,381 (1,381*)","0 (0*)","16","13,518","0d 3h 16m 54s","71","","2","7","1","0","200","0d 0h 0m 56s","0 (0*)","0","0","0","0","0","0","15","2,855","0d 1h 55m 51s","53","141","0","0","0","0","2",188
"3","Jambingo","11,027","728,694","20d 20h 48m 19s","10,916","666,212","19d 6h 35m 3s","8,943 (123*)","585 (0*)","391","16,608 (471*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","73","34,764","0d 19h 31m 32s","716","3","29","84","18","9","2,975","0d 1h 51m 32s","36 (3*)","109","0","0","0","0","19","7","2,222","0d 1h 4m 38s","38","96","0","0","0","0","2",193
"4","Scotteh","10,754","1,313,491","29d 21h 21m 21s","10,603","1,197,789","26d 20h 36m 52s","18,439 (678*)","630 (13*)","989","53,982 (4,188*)","4 (4*)","0d 4h 16m 26s (0d 4h 16m 26s*)","27 (27*)","0 (0*)","4 (4*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","14 (14*)","0 (0*)","0 (0*)","13 (13*)","0 (0*)","25","2,186","0d 5h 28m 55s","27","21","3","12","11","37","12,338","0d 7h 15m 18s","347 (0*)","226","1","1","1","0","50","16","4,015","0d 2h 11m 49s","117","203","0","0","0","0","17",273
"5","TheKid217","10,417","3,315,796","39d 5h 17m 19s","9,798","2,534,950","27d 12h 36m 41s","35,973 (7,278*)","2,066 (1,241*)","3,016","193,896 (52,396*)","65 (65*)","1d 14h 39m 32s (1d 14h 39m 32s*)","835 (835*)","13 (13*)","14 (14*)","21 (21*)","1 (1*)","0d 0h 10m 19s (0d 0h 10m 19s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","17 (17*)","201 (201*)","38 (38*)","618 (618*)","257 (257*)","0 (0*)","1,473 (1,473*)","1 (1*)","87","38,682","0d 20h 31m 9s","736","793","49","65","32","41","24,370","0d 8h 59m 11s","613 (146*)","231","2","3","2","1","61","93","56,532","0d 13h 15m 38s","2,198","766","18","1","2","1","95",459
"6","JcSnow","10,329","1,574,562","30d 22h 52m 22s","9,898","1,286,561","22d 17h 55m 56s","18,278 (71*)","238 (1*)","1,064","49,716 (255*)","235 (235*)","5d 14h 24m 16s (5d 14h 24m 16s*)","3,655 (3,655*)","50 (50*)","48 (48*)","55 (55*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","80","31,661","0d 16h 4m 14s","581","239","21","80","37","7","2,315","0d 1h 16m 23s","55 (0*)","68","0","0","0","0","16","4","1,397","0d 0h 25m 14s","25","36","0","0","0","0","11",303
"7","Scin","10,086","1,280,911","27d 3h 53m 37s","10,003","1,186,459","23d 12h 52m 13s","13,616 (1,148*)","310 (7*)","878","29,767 (4,226*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","0d 0h 13m 39s (0d 0h 13m 39s*)","1 (1*)","0 (0*)","1 (1*)","12 (12*)","0 (0*)","6 (6*)","4 (4*)","9 (9*)","14 (14*)","0 (0*)","58 (58*)","0 (0*)","9","2,019","0d 2h 0m 8s","121","","1","10","6","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","11","4,347","0d 1h 43m 31s","119","122","0","0","0","0","24",269
"8","ToxLock","9,810","1,311,427","23d 7h 50m 32s","9,807","1,300,175","23d 6h 31m 47s","24,729 (191*)","428 (2*)","1,309","60,201 (491*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1","796","0d 0h 33m 3s","9","","","1","","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","1","200","0d 0h 7m 3s","5","12","0","0","0","0","0",273
"9","Shellz","9,679","4,942,342","76d 1h 28m 13s","7,402","519,962","15d 10h 5m 42s","5,547 (311*)","229 (3*)","328","10,433 (1,114*)","41 (41*)","1d 9h 53m 39s (1d 9h 53m 39s*)","246 (246*)","3 (3*)","4 (4*)","6 (6*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4","5,331","0d 1h 17m 12s","2","2","","3","1","17","6,645","0d 3h 41m 24s","80 (0*)","163","0","0","0","0","19","100","32,967","0d 13h 6m 37s","437","974","0","0","0","0","25",570
"10","JustKeepcalm","9,516","1,107,303","23d 21h 37m 20s","9,375","1,031,870","20d 21h 12m 14s","13,362 (9,491*)","1,071 (870*)","1,417","49,900 (41,660*)","66 (66*)","1d 22h 33m 23s (1d 22h 33m 23s*)","1,311 (1,311*)","12 (12*)","14 (14*)","13 (13*)","16 (16*)","0d 3h 8m 11s (0d 3h 8m 11s*)","21 (21*)","4 (4*)","9 (9*)","136 (136*)","0 (0*)","12 (12*)","13 (13*)","129 (129*)","23 (23*)","1 (1*)","244 (244*)","0 (0*)","4","4,350","0d 1h 20m 9s","11","13","","6","1","1","425","0d 0h 16m 44s","5 (4*)","16","0","0","0","0","0","21","4,815","0d 2h 11m 1s","142","179","0","0","0","0","18",247
"11","IceWolfofalaska","9,258","570,659","18d 14h 53m 51s","9,056","385,332","14d 23h 6m 2s","5,549 (10*)","879 (1*)","155","5,015 (64*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","17","15,080","0d 4h 0m 53s","70","1","4","10","6","14","5,795","0d 3h 16m 56s","88 (45*)","186","0","0","0","1","22","46","12,661","0d 7h 20m 51s","248","673","1","0","0","0","15",166
"12","Noppe","9,213","2,939,446","41d 12h 25m 22s","8,200","1,965,744","23d 18h 47m 19s","30,670 (2,094*)","2,505 (55*)","2,748","196,624 (17,765*)","55 (55*)","0d 22h 20m 36s (0d 22h 20m 36s*)","703 (703*)","13 (13*)","10 (10*)","25 (25*)","31 (31*)","0d 5h 26m 27s (0d 5h 26m 27s*)","31 (31*)","47 (47*)","87 (87*)","333 (333*)","36 (36*)","219 (219*)","30 (30*)","363 (363*)","257 (257*)","0 (0*)","2,703 (2,703*)","0 (0*)","262","232,498","2d 7h 26m 28s","610","5263","70","251","112","113","51,542","1d 2h 58m 23s","2,218 (1,765*)","445","12","12","6","8","87","36","15,869","0d 5h 7m 34s","669","310","1","0","0","0","50",429
"13","hotlamp","9,063","716,829","18d 13h 47m 14s","8,999","692,577","18d 0h 41m 43s","10,728 (191*)","177 (2*)","515","25,462 (464*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","18","4,935","0d 2h 57m 57s","72","1","","5","4","24","8,480","0d 4h 22m 47s","120 (11*)","196","0","0","0","1","20","17","4,080","0d 2h 14m 4s","134","191","0","0","0","0","12",191
"14","Jmeijer_","8,974","1,055,886","21d 18h 38m 7s","8,834","956,535","20d 4h 8m 46s","12,698 (993*)","392 (15*)","879","44,245 (6,188*)","1 (1*)","0d 0h 6m 26s (0d 0h 6m 26s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","17 (17*)","1 (1*)","15 (15*)","19 (19*)","0 (0*)","18 (18*)","0 (0*)","125","81,401","1d 5h 22m 28s","2203","4","73","193","48","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",240
"15","VintageDrummer","8,804","1,614,743","35d 6h 54m 54s","7,859","780,360","15d 10h 54m 18s","11,422 (1,318*)","304 (29*)","640","31,018 (8,647*)","202 (202*)","6d 3h 56m 40s (6d 3h 56m 40s*)","1,510 (1,510*)","42 (42*)","31 (31*)","46 (46*)","7 (7*)","0d 1h 18m 54s (0d 1h 18m 54s*)","7 (7*)","22 (22*)","36 (36*)","20 (20*)","0 (0*)","1 (1*)","2 (2*)","18 (18*)","5 (5*)","0 (0*)","85 (85*)","0 (0*)","356","429,522","3d 11h 23m 34s","3029","726","204","738","134","44","13,625","0d 8h 55m 1s","158 (151*)","297","0","0","0","1","21","23","8,077","0d 3h 39m 55s","245","294","0","0","0","0","18",307
"16","Tom_____","8,551","2,956,808","70d 23h 46m 33s","5,833","583,454","12d 3h 2m 31s","7,000 (6,072*)","2,473 (2,366*)","714","16,054 (14,632*)","518 (518*)","14d 23h 14m 57s (14d 23h 14m 57s*)","9,731 (9,731*)","113 (113*)","105 (105*)","110 (110*)","343 (343*)","2d 18h 49m 12s (2d 18h 49m 12s*)","198 (198*)","855 (855*)","875 (875*)","1,425 (1,425*)","14 (14*)","102 (102*)","66 (66*)","555 (555*)","253 (253*)","3 (3*)","2,095 (2,095*)","0 (0*)","11","7,518","0d 2h 57m 9s","47","2","2","1","3","27","9,690","0d 6h 11m 41s","237 (231*)","220","0","0","0","3","31","118","33,135","0d 16h 28m 43s","1,623","1,056","3","0","0","0","38",431
"17","EndIt","8,540","934,647","18d 3h 20m 44s","8,433","870,244","16d 15h 9m 52s","15,723 (1,544*)","660 (99*)","791","46,338 (5,433*)","2 (2*)","0d 1h 7m 43s (0d 1h 7m 43s*)","18 (18*)","0 (0*)","0 (0*)","2 (2*)","1 (1*)","0d 0h 11m 3s (0d 0h 11m 3s*)","1 (1*)","1 (1*)","1 (1*)","5 (5*)","0 (0*)","15 (15*)","11 (11*)","111 (111*)","41 (41*)","0 (0*)","314 (314*)","0 (0*)","11","11,904","0d 2h 27m 34s","41","15","2","9","7","1","1,115","0d 0h 30m 7s","15 (8*)","28","0","0","0","0","8","55","19,363","0d 7h 12m 48s","693","554","3","0","1","0","37",224
"18","JonnyBoyUSA","8,510","731,480","25d 13h 11m 58s","8,006","522,535","16d 8h 33m 21s","6,856 (1,730*)","521 (350*)","444","15,076 (6,623*)","191 (191*)","5d 1h 8m 8s (5d 1h 8m 8s*)","1,638 (1,638*)","28 (28*)","39 (39*)","40 (40*)","70 (70*)","0d 13h 15m 49s (0d 13h 15m 49s*)","62 (62*)","199 (199*)","281 (281*)","185 (185*)","2 (2*)","20 (20*)","35 (35*)","280 (280*)","64 (64*)","1 (1*)","660 (660*)","0 (0*)","17","18,644","0d 3h 53m 8s","116","8","5","23","7","1","1,025","0d 0h 5m 56s","1 (1*)","10","0","0","0","0","0","66","16,930","0d 9h 13m 57s","697","716","2","1","0","1","29",193
"19","JacobTehBlade","8,468","958,775","28d 5h 26m 8s","8,400","873,110","16d 17h 39m 50s","14,193 (2,651*)","1,168 (48*)","987","44,650 (12,861*)","13 (13*)","0d 4h 23m 46s (0d 4h 23m 46s*)","291 (291*)","7 (7*)","0 (0*)","2 (2*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","7 (7*)","2 (2*)","20 (20*)","4 (4*)","1 (1*)","97 (97*)","0 (0*)","7","6,514","0d 1h 27m 35s","50","","","4","3","0","1,500","0d 0h 33m 15s","18 (6*)","42","0","0","0","0","0","8","2,620","0d 1h 18m 7s","147","122","0","0","0","0","27",227
"20","Nicksantaniello2","8,223","382,512","13d 19h 25m 5s","8,203","353,823","13d 6h 19m 32s","4,837 (9*)","89 (0*)","98","3,223 (33*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","5","1,884","0d 1h 7m 17s","20","","","2","3","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","5","1,910","0d 0h 45m 18s","24","72","0","0","0","0","2",130
"21","Nathan3518","8,088","598,596","18d 3h 4m 35s","7,982","534,976","16d 18h 54m 17s","7,712 (993*)","468 (315*)","433","15,492 (2,573*)","1 (1*)","0d 0h 22m 18s (0d 0h 22m 18s*)","2 (2*)","0 (0*)","0 (0*)","0 (0*)","18 (18*)","0d 3h 15m 56s (0d 3h 15m 56s*)","12 (12*)","26 (26*)","25 (25*)","68 (68*)","0 (0*)","0 (0*)","1 (1*)","7 (7*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","15","13,320","0d 3h 31m 6s","34","4","4","13","10","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","0","400","0d 0h 7m 39s","1","11","0","0","0","0","0",171
"22","ColorblindCuber","8,010","823,498","17d 20h 27m 20s","7,998","815,704","17d 18h 18m 12s","11,606 (367*)","384 (0*)","748","37,576 (2,513*)","1 (1*)","0d 0h 22m 18s (0d 0h 22m 18s*)","10 (10*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","3","561","0d 0h 45m 24s","6","1","","","","1","315","0d 0h 10m 39s","2 (2*)","9","0","0","0","0","2","2","1,140","0d 0h 29m 39s","22","42","0","0","0","0","4",208
"23","Kezza","8,004","1,542,984","29d 9h 43m 51s","7,805","1,420,814","22d 21h 58m 51s","16,331 (3,906*)","293 (32*)","1,771","100,671 (27,837*)","40 (40*)","0d 19h 16m 16s (0d 19h 16m 16s*)","317 (317*)","9 (9*)","4 (4*)","13 (13*)","2 (2*)","0d 0h 26m 58s (0d 0h 26m 58s*)","2 (2*)","1 (1*)","1 (1*)","11 (11*)","29 (29*)","187 (187*)","41 (41*)","229 (229*)","370 (370*)","6 (6*)","2,687 (2,687*)","0 (0*)","13","7,676","0d 2h 53m 20s","166","4","3","12","5","5","1,280","0d 0h 57m 10s","19 (19*)","55","0","0","0","0","11","9","3,242","0d 1h 22m 42s","130","111","0","0","0","0","24",299
"24","swampchick","7,954","913,945","38d 0h 28m 0s","7,145","441,190","20d 13h 18m 12s","1,340 (218*)","17 (3*)","313","3,792 (924*)","760 (760*)","17d 1h 56m 4s (17d 1h 56m 4s*)","1,763 (1,763*)","162 (162*)","111 (111*)","148 (148*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","13","10,632","0d 2h 50m 37s","16","1","1","5","7","29","7,205","0d 5h 26m 24s","77 (77*)","233","0","0","0","0","16","1","307","0d 0h 10m 0s","3","17","0","0","0","0","1",221
"25","Mr_Metalhead","7,903","580,041","16d 9h 54m 19s","7,884","564,539","15d 21h 11m 3s","9,416 (0*)","161 (0*)","463","17,328 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1","0","0d 0h 28m 51s","","","","1","","1","425","0d 0h 2m 44s","0 (0*)","3","0","0","0","0","0","12","4,300","0d 2h 18m 46s","155","209","0","1","0","0","12",168
"26","G3AR25","7,855","503,949","15d 14h 59m 24s","7,827","480,810","14d 13h 16m 31s","7,611 (322*)","246 (5*)","401","16,385 (1,278*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","17 (17*)","6 (6*)","99 (99*)","42 (42*)","0 (0*)","341 (341*)","0 (0*)","7","5,855","0d 1h 58m 24s","20","1","1","3","3","0","200","0d 0h 2m 33s","0 (0*)","1","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",154
"27","Leathers","7,725","595,944","14d 22h 27m 30s","7,649","539,102","13d 5h 55m 24s","8,969 (274*)","525 (12*)","355","15,353 (999*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","2 (2*)","10 (10*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","12","14,078","0d 3h 56m 55s","61","3","2","12","5","5","2,785","0d 1h 12m 17s","18 (2*)","69","0","0","0","1","10","10","2,932","0d 1h 26m 38s","69","130","1","0","0","0","13",171
"28","Ant_bob","7,627","1,364,623","27d 14h 32m 37s","6,887","746,785","15d 14h 27m 43s","12,416 (782*)","1,459 (255*)","816","48,822 (3,642*)","91 (91*)","2d 17h 10m 58s (2d 17h 10m 58s*)","1,550 (1,550*)","19 (19*)","31 (31*)","23 (23*)","12 (12*)","0d 2h 3m 11s (0d 2h 3m 11s*)","12 (12*)","26 (26*)","29 (29*)","55 (55*)","0 (0*)","2 (2*)","4 (4*)","16 (16*)","7 (7*)","0 (0*)","78 (78*)","0 (0*)","280","229,107","2d 6h 56m 53s","636","2146","73","225","94","101","35,645","0d 17h 54m 20s","886 (677*)","546","0","5","0","10","75","6","2,860","0d 0h 53m 41s","33","60","0","0","0","0","11",279
"29","Deaven","7,397","976,287","16d 11h 14m 1s","7,368","954,278","16d 1h 45m 18s","14,077 (0*)","449 (0*)","639","40,019 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","7","6,161","0d 1h 30m 9s","88","","1","2","4","11","4,842","0d 2h 0m 24s","127 (31*)","97","0","0","0","0","29","6","1,904","0d 0h 53m 17s","32","92","0","0","0","0","7",230
"30","TerraCombo","7,281","4,654,505","61d 15h 41m 29s","4,988","812,795","11d 23h 8m 36s","11,864 (13*)","355 (0*)","734","36,432 (27*)","1 (1*)","0d 0h 9m 33s (0d 0h 9m 33s*)","51 (51*)","1 (1*)","0 (0*)","0 (0*)","3 (3*)","0d 0h 30m 16s (0d 0h 30m 16s*)","1 (1*)","0 (0*)","0 (0*)","11 (11*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","85","104,121","0d 17h 54m 25s","921","238","19","52","31","310","131,193","2d 7h 12m 14s","4,053 (3,848*)","1,283","11","13","13","35","82","341","189,297","1d 20h 58m 6s","6,801","2,697","71","10","7","0","81",552
"31","latcer","7,239","781,637","25d 18h 3m 45s","6,453","597,305","14d 10h 16m 19s","10,317 (581*)","136 (7*)","547","18,008 (1,408*)","225 (225*)","5d 21h 41m 27s (5d 21h 41m 27s*)","3,638 (3,638*)","39 (39*)","59 (59*)","40 (40*)","29 (29*)","0d 5h 44m 58s (0d 5h 44m 58s*)","23 (23*)","30 (30*)","34 (34*)","66 (66*)","5 (5*)","58 (58*)","73 (73*)","695 (695*)","146 (146*)","3 (3*)","1,827 (1,827*)","0 (0*)","8","11,016","0d 2h 29m 51s","57","5","5","12","4","0","875","0d 0h 12m 42s","6 (0*)","15","0","0","0","0","0","4","1,910","0d 0h 35m 54s","40","47","0","0","0","0","9",201
"32","SirSpammo","7,218","3,523,606","60d 5h 37m 7s","3,604","156,554","5d 17h 46m 13s","2,561 (57*)","116 (4*)","89","2,201 (213*)","72 (72*)","1d 17h 21m 41s (1d 17h 21m 41s*)","640 (640*)","24 (24*)","8 (8*)","18 (18*)","3 (3*)","0d 0h 32m 40s (0d 0h 32m 40s*)","1 (1*)","6 (6*)","7 (7*)","2 (2*)","0 (0*)","6 (6*)","21 (21*)","209 (209*)","29 (29*)","0 (0*)","460 (460*)","0 (0*)","621","722,097","6d 5h 41m 59s","4042","398","234","773","204","1,949","671,769","18d 12h 34m 39s","25,906 (25,825*)","6,702","11","11","16","55","112","161","41,878","1d 0h 7m 58s","1,426","1,757","6","1","2","2","40",474
"33","jasoneisengart","7,048","698,593","13d 19h 50m 10s","7,042","695,169","13d 17h 50m 14s","9,912 (52*)","2,725 (31*)","449","22,759 (201*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0","0","0d 0h 5m 14s","1","","","","","4","1,250","0d 1h 6m 14s","33 (0*)","72","0","0","0","0","18","2","1,772","0d 0h 41m 5s","51","53","0","0","0","0","14",188
"34","Jimpug","7,035","961,265","20d 12h 12m 33s","6,839","872,028","16d 12h 47m 20s","11,741 (2,731*)","536 (261*)","905","32,255 (11,545*)","5 (5*)","0d 3h 13m 14s (0d 3h 13m 14s*)","76 (76*)","2 (2*)","1 (1*)","1 (1*)","14 (14*)","0d 2h 28m 54s (0d 2h 28m 54s*)","13 (13*)","27 (27*)","34 (34*)","36 (36*)","7 (7*)","68 (68*)","47 (47*)","458 (458*)","190 (190*)","1 (1*)","1,939 (1,939*)","0 (0*)","35","37,450","0d 8h 28m 8s","199","23","15","41","12","22","8,615","0d 4h 49m 57s","303 (28*)","223","1","1","2","1","35","25","9,680","0d 3h 24m 49s","287","255","0","0","1","1","33",228
"35","rumpelstiltskin8","7,007","1,098,734","28d 20h 26m 44s","6,870","863,060","16d 16h 46m 9s","9,583 (1*)","259 (0*)","576","19,507 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","1 (1*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","10","11,254","0d 2h 54m 39s","46","","2","13","7","0","225","0d 0h 2m 22s","1 (0*)","2","0","0","0","0","0","5","2,171","0d 1h 1m 14s","34","73","0","0","0","0","4",246
"36","jgrimer","6,986","679,400","12d 9h 32m 23s","6,828","514,440","10d 8h 11m 11s","8,602 (124*)","1,918 (27*)","205","7,983 (7*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","2 (2*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","111","106,660","0d 22h 41m 7s","938","116","20","103","43","19","6,395","0d 3h 9m 8s","89 (89*)","193","0","0","0","4","21","7","4,825","0d 0h 57m 11s","54","82","0","0","0","0","7",185
"37","harleymachine","6,979","736,029","14d 22h 27m 38s","6,916","712,684","14d 8h 6m 42s","11,319 (0*)","638 (0*)","662","35,460 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4","4,890","0d 1h 10m 45s","27","","3","1","2","2","1,270","0d 0h 27m 1s","19 (19*)","21","0","0","0","0","14","15","5,395","0d 2h 12m 8s","173","194","0","0","0","0","14",194
"38","EmmaMeows","6,917","2,323,992","42d 21h 0m 18s","5,552","456,198","11d 19h 5m 39s","5,746 (4,550*)","216 (174*)","490","15,443 (13,976*)","63 (63*)","1d 19h 36m 28s (1d 19h 36m 28s*)","490 (490*)","17 (17*)","15 (15*)","9 (9*)","9 (9*)","0d 1h 45m 32s (0d 1h 45m 32s*)","6 (6*)","6 (6*)","7 (7*)","23 (23*)","0 (0*)","4 (4*)","16 (16*)","122 (122*)","10 (10*)","0 (0*)","191 (191*)","0 (0*)","27","22,450","0d 5h 34m 20s","43","22","2","27","9","36","30,615","0d 5h 49m 37s","115 (97*)","236","0","1","0","3","34","237","66,015","1d 11h 22m 21s","2,883","2,294","11","0","3","1","44",377
